City;Country;CustomerId;DateOfBirth;EmailAddress;FirstName;HouseNumber;LastName;PhoneNumber;PostalCode;Street;UpdatedTimestamp
Rosario, Santa Fe;AR;100000037;1980-01-01T00:00:00;laura.campillo@saitc.ar;Guillermo;7785;Ferrero;1438907230;2008;Av. Eva Perón;2017-03-31T07:16:36.056
Bologna;IT;100000024;1980-01-01T00:00:00;alessio.galasso@tcdr.it;Lorella;17;Bottegoni;4580963184;40128;Via della Liberazione;2017-03-31T07:16:36.053
Rio Branco;BR;100000027;1980-01-01T00:00:00;beatriz.da_silva@brazil-tec.br;Isabelle;117;Alves;469614115;69906-400;R Omar Sabino;2017-03-31T07:16:36.053
St.-Leon Rot;DE;100000002;1980-01-01T00:00:00;do.not.reply@sap.com;Harald;6;Gahn;01701234567;68789;Opelstraße;2017-03-31T07:16:36.506
Hermosillo;MX;100000009;1980-01-01T00:00:00;victor.sanchez@avantel.com;Angélica;5-B;Pretelini;7257716;83260;Danubio;2017-03-31T07:16:36.523
Moorestown;US;100000035;1980-01-01T00:00:00;jefferson.parker@pico-bit.com;Steve;351;Gallion;9703586412;08057;New Albany Road;2017-03-31T07:16:36.556
Paris;FR;100000025;1980-01-01T00:00:00;romain.le_mason@verdo.fr;Sebastien;4;Frati;1012697341;57490;Rue de la Frontiere;2017-03-31T07:16:36.053
Telgte;DE;100000006;1980-01-01T00:00:00;bart.koenig@tecum-ag.de;Nicole;65;Bohm;2511415;49291;Orkotten;2017-03-31T07:16:36.523
Boca Raton, Florida;US;100000020;1980-01-01T00:00:00;alexis.harper@flor-hc.com;Carolyn;5147;Yale;6065470312;33486;Deerhurst Crescent Cir;2017-03-31T07:16:36.053
München;DE;100000022;1980-01-01T00:00:00;sven.j@getraenke-janssen.de;Leah;51;Aachen;3629731486;80335;Nymphenburger Str;2017-03-31T07:16:36.053
Linz;AT;100000011;1980-01-01T00:00:00;joseph_gschwandtner@alp-systems.at;Karolin;78;Schröder;6623612804;4020;Landstraße;2017-03-31T07:16:36.526
München;DE;100000001;1980-01-01T00:00:00;james.field@itelo.info;James;10;Field;1029384750;80809;Am Olympiapark;2017-03-31T07:16:36.506
Mendoza;AR;100000018;1980-01-01T00:00:00;miguel.luengo@compostela.ar;Carla;352;Cardoso;4440238917;M5519;Av. Bandera de los Andes;2017-03-31T07:16:36.536
Köln;DE;100000017;1980-01-01T00:00:00;johanna.esther@meliva.de;Kevin;39;Schroeder;2208791738;50825;Hospeltstrasse;2017-03-31T07:16:36.536
Buenos Aires;AR;100000010;1980-01-01T00:00:00;jorge.velez@telecomunicacionesstar.com;Renan;12221;Barros;1133557799;1511;La Horqueta;2017-03-31T07:16:36.523
Biel/Bienne;CH;100000028;1980-01-01T00:00:00;lisa.felske@jologa.ch;Hansjoerg;13;Wegmann;6714954542;2504;Grenchenstrasse;2017-03-31T07:16:36.056
Kastrup;DK;100000039;1980-01-01T00:00:00;frederik.christensen@dftc.dk;Charlotte;385;Hojby;3102050749;2770;Englandsvej;2017-03-31T07:16:36.056
Manchester;GB;100000012;1980-01-01T00:00:00;george_d_grant@newlinedesign.co.uk;Brigida;16;Wright;2589436180;M11 3ER;Midland St;2017-03-31T07:16:36.526
Paris;FR;100000008;1980-01-01T00:00:00;sophie.ribery@laurent-paris.com;Jean-Louis;2;Pasqua;149744423;75012;20 pl des Vins de France;2017-03-31T07:16:36.523
Bismarck, North Dakota;US;100000014;1980-01-01T00:00:00;theodor.monathy@anavideon.com;Carlene;950;McCutcheon;5850428367;58503;Geteway Ave;2017-03-31T07:16:36.536
Chūō;JP;100000023;1980-01-01T00:00:00;yoshiko.kakuji@jateco.jp;Kazuo;3;Koike;3206580974;104-0045;Tsukiji, 3 Chome−5−4;2017-03-31T07:16:36.053
Ottawa;CA;100000015;1980-01-01T00:00:00;robert_brown@rb-entertainment.ca;Jesse;383;Charley;7609448173;ONK1R7T2;Albert St;2017-03-31T07:16:36.536
Paraná, Entre Ríos;AR;100000026;1980-01-01T00:00:00;martha.calcagno@dpg.ar;Nicolas;3100;Borio;7345697824;1510;Francisco Soler;2017-03-31T07:16:36.053
Carrollton, Texas;US;100000029;1980-01-01T00:00:00;jonathan.d.mason@baleda.com;Bruce;1847;Ford;2483693027;75006;Moonbeam Ln;2017-03-31T07:16:36.056
Shenzhen;CN;100000038;1980-01-01T00:00:00;jian.si@siwusha.cn;Will;23;Shi;7412697340;518028;Yuanling 5th Street;2017-03-31T07:16:36.056
Santa Rosa, La Pampa;AR;100000033;1980-01-01T00:00:00;jose-lopez@en-ar.ar;Melisa;822;Guetta;7315064077;L6302HTV;Antártida Argentina;2017-03-31T07:16:36.553
Fukuoka, Moji-ku;JP;100000032;1980-01-01T00:00:00;ryu.toshiro@jip.jp;Wenyun;1;Hen;3540671320;801-0841;Chome−3−10;2017-03-31T07:16:36.553
Madrid;ES;100000021;1980-01-01T00:00:00;c.alfaro@quimica-madrilenos.es;Manuela;5-7;Carmena;7980023486;28043;Calle de Emilio Vargas;2017-03-31T07:16:36.053
Malsch;DE;100000041;1980-01-01T00:00:00;dummy_address@sap.com;Ulrich;3;Scholz;3102050749;76316;Bruhrückstr.;2017-03-31T07:16:36.056
St Pierre de Bressieux;FR;100000019;1980-01-01T00:00:00;isabel.nemours@pateu.fr;Dominique;17;Sorain;6328490087;38870;rte de Rossieres;2017-03-31T07:16:36.536
Karlsruhe;DE;100000036;1980-01-01T00:00:00;tamara.flaig@brl-ag.de;Lukas;4;Fleischer;6843585642;76149;Gewerbering;2020-12-08T09:38:22.146
Wilmington, Delaware;US;100000003;1980-01-01T00:00:00;maria.brown@delbont.com;Sam;1;Pelt;3023352668;19899;Kalmar Pl;2020-12-16T09:28:06.71
Bretten;DE;100000040;1980-01-01T00:00:00;mirjam.schmidt@sorali.de;Klaus;3;Cole;3102050749;75015;Kurpfalzstr;2017-03-31T07:16:36.056
Tokyo;JP;100000007;1980-01-01T00:00:00;yoko.nakamura@asia-ht.com;Hidehisa;3;Koshiishi;9078563412;160-0004;Yotsuya Chome-3-1;2017-03-31T07:16:36.523
Antioch, Illinois;US;100000000;1980-01-01T00:00:00;sue.bay@itelo.info;Sue;143;Bay;1029384759;60002;Spring Garden Street;2020-12-03T01:22:09.94
México;MX;100000016;1980-01-01T00:00:00;jorgemontalban@motc.mx;Danilo;253;Ferreira;6879342945;14330;Cafetales;2017-03-31T07:16:36.536
Bremen;DE;100000013;1980-01-01T00:00:00;sarah.schwind@hepa-tec.de;Marko;12;König;4507867136;28195;Marktstr;2017-03-31T07:16:36.536
Santa Clara, California;US;100000005;1980-01-01T00:00:00;bob.buyer@panorama-studios.biz;Timothy;5400;Oshaughnessy;2244668800;95054;Bayfront Plz;2017-03-31T07:16:36.523
Cape Town;ZA;100000034;1980-01-01T00:00:00;dahoma.lawla@agadc.co.za;Nonkululeko;3;Van Der Walt;4381762683;7441;Century Way;2021-04-10T11:40:44.036
Courville Sur Eure, Centre;FR;100000030;1980-01-01T00:00:00;amelie.troyat@angere.fr;Fouad;6-8;Martin;2094573421;28190;Rue des Aquees;2017-03-31T07:16:36.056
Hannover;DE;100000004;1980-01-01T00:00:00;saskia.sommer@talpa-hannover.de;Julia;425;Pfeffer;511403266;30625;Otto-Brenner-Straße;2017-03-31T07:16:36.523
Lombard, Illinois;US;100000031;1980-01-01T00:00:00;pete_waltham@pc-gym-tec.com;Sandra;533;Creech;4136278910;60148;N La Londe Ave;2017-03-31T07:16:36.056
